rollout/success_rate,train/std,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/ent_coef,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.009999999776482582,0.049747925251722336,73929,84,874,49.85,-20.289820369999997,1480,63928,0.0018298408249393106,0.002136009919922799,0.0001,-18.28740882873535,3.268578886985779,,,
0.009999999776482582,0.04971661418676376,74429,84,881,49.85,-20.268462850000002,1490,64428,0.0017524030117783695,0.0011713766434695572,0.0001,-15.082828640937805,3.284080743789673,,,
0.009999999776482582,0.0496831052005291,74929,84,887,49.85,-20.01724193,1500,64928,0.0016804285696707666,0.0011621472949627787,0.0001,-12.760168552398682,3.251189649105072,,,
0.009999999776482582,0.04965117573738098,75429,84,893,49.85,-19.68603544,1510,65428,0.0016084659728221595,0.003481009422102943,0.0001,-18.812860250473022,3.2688809037208557,,,
0.009999999776482582,0.04962034523487091,75929,84,900,49.85,-19.604034690000002,1520,65928,0.001540696481242776,0.0014016612549312413,0.0001,-13.28357458114624,3.216245174407959,,,
0.009999999776482582,0.04959826171398163,76429,84,906,49.85,-19.3741814,1530,66428,0.0014753702853340656,0.006450743705499917,0.0001,-15.517931699752808,3.2751051783561707,,,
0.009999999776482582,0.049565237015485764,76929,84,912,49.85,-18.888853270000002,1540,66928,0.0014143078296910971,0.003756558377062902,0.0001,-10.264329552650452,3.2905450463294983,,,
0.009999999776482582,0.049518048763275146,77429,84,919,49.85,-19.43230339,1550,67428,0.0013556191115640104,0.0023997251118998975,0.0001,-12.179213523864746,3.2807095646858215,,,
0.009999999776482582,0.04947943612933159,77929,84,925,49.85,-19.741882269999998,1560,67928,0.0013010981492698193,0.002941858721897006,0.0001,-15.020008325576782,3.2799814343452454,,,
0.019999999552965164,0.04942546784877777,78385,84,931,49.41,-18.80135662,1570,68384,0.0012524232733994722,0.004516846849583089,0.0001,-8.516888856887817,3.309238851070404,,,
0.009999999776482582,0.04935837909579277,78885,84,937,49.56,-18.450298499999995,1580,68884,0.0012048028293065727,0.005558720411499962,0.0001,-13.85961651802063,3.2985735535621643,,,
0.009999999776482582,0.04929756373167038,79385,84,943,49.56,-17.902791469999997,1590,69384,0.001162942819064483,0.0020750047988258302,0.0001,-4.9308909475803375,3.239720642566681,,,
0.009999999776482582,0.049246929585933685,79885,84,949,49.56,-17.892745719999997,1600,69884,0.0011252934054937214,0.0013013911666348577,0.0001,-2.188660979270935,3.20560485124588,,,
,,80000,,,,,,69996,0.0011181088048033416,0.0012529759405879304,0.0001,-5.747667551040649,3.1960203647613525,-27.258091750000006,47.9,0.05
0.009999999776482582,0.04918726533651352,80385,83,962,49.56,-17.94417387,1610,70384,0.0010916641040239483,0.002469016530085355,0.0001,-6.53887477517128,3.174266755580902,,,
